Time,RL_Offload,RL_Cache,RL_Latency,RL_Energy,MIP_Offload,MIP_Cache,MIP_Latency,MIP_Energy,Feasible,RL_CPU_Time,MIP_CPU_Time
0,1.0,1.0,4455.819699729407,0.8,1,1,6676.624815604426,0.2704918059768281,1,0.000451,0.030462
1,1.0,1.0,6451.068607171732,1.4285714285714286,1,1,12441.356947057637,0.9583333429166475,0,1.9e-05,0.0118
2,1.0,1.0,4570.633123210832,2.05,0,0,26317.41563698923,-2.716046913570254e-09,0,1.9e-05,0.012825
3,1.0,1.0,5748.2019974084715,0.88,1,1,18729.748398546144,0.35000000349999677,0,2.5e-05,0.013592
4,1.0,1.0,5436.917238674371,0.9166666666666666,1,1,11537.298054651688,0.5166666718333287,0,2.3e-05,0.013462
5,1.0,1.0,5690.688673965719,0.8888888888888888,1,1,6225.7010913312615,0.19565217586466227,1,2.4e-05,0.01138
6,1.0,1.0,5546.73797231145,1.3125,1,1,8349.641309052806,0.2291666689525898,1,2.1e-05,0.010916
7,1.0,1.0,6555.595238686044,1.2777777777777777,1,1,1463.741167474265,0.059523810117556,1,2.5e-05,0.01014
8,1.0,1.0,6487.353489355834,2.136363636363636,1,1,19878.072858165313,0.2619047645238071,0,2.1e-05,0.011795
9,1.0,1.0,4217.865805989137,0.7692307692307693,1,1,12308.41583447656,0.2371134044329875,0,2e-05,0.012458
10,1.0,1.0,4664.258548403629,0.7857142857142857,1,1,10107.68773206434,0.3484848519696938,0,2e-05,0.01249
11,1.0,1.0,5316.016489488177,0.9545454545454546,1,1,1909.5395730278292,0.5000000049874704,1,2.2e-05,0.011442
12,1.0,1.0,4447.545554514553,1.1388888888888888,1,1,2515.355447568978,0.16129032418950667,1,2.8e-05,0.010427
13,1.0,1.0,6611.412573677108,1.3333333333333333,1,1,5701.499464697486,0.11290322693265471,1,2.4e-05,0.009829
14,1.0,1.0,5254.638355578771,0.9423076923076924,1,1,7039.910189704961,1.5909091067783139,1,2.1e-05,0.010156
15,1.0,1.0,7159.824376623321,1.0,0,0,18625.246013500455,-1.1855659323382123e-09,0,2.2e-05,0.01229
16,1.0,1.0,8016.452151839229,1.2894736842105263,1,1,6961.794083142796,0.6153846215230391,1,2e-05,0.010205
17,1.0,1.0,5656.9192371217005,2.3,1,1,8679.06363040551,0.3829787272244443,1,2.1e-05,0.010548
18,1.0,1.0,5264.505179878437,0.8913043478260869,1,1,4781.17774248847,0.8181818263431335,1,2.1e-05,0.009913
19,1.0,1.0,6451.994235713066,1.4375,1,1,3206.0510761874066,0.16438356328355191,1,1.7e-05,0.009235
20,1.0,1.0,5005.069019020979,1.125,1,1,3940.6495522032324,0.1739130452130332,1,1.9e-05,0.009258
21,1.0,1.0,4583.107301406042,1.9090909090909092,1,1,10653.110022302517,0.5833333391666614,0,1.7e-05,0.011331
