Time,Offload,Cache,Latency,Energy,MIP_Feasible
0,1.0,1.0,4455.819699729407,0.8,1
1,1.0,1.0,6451.068607171732,1.4285714285714286,1
2,1.0,1.0,4570.633123210832,2.05,1
3,1.0,1.0,5748.2019974084715,0.88,1
4,1.0,1.0,5436.917238674371,0.9166666666666666,1
5,1.0,1.0,5690.688673965719,0.8888888888888888,1
6,1.0,1.0,5546.73797231145,1.3125,1
7,1.0,1.0,6555.595238686044,1.2777777777777777,1
8,1.0,1.0,6487.353489355834,2.1363636363636362,1
9,1.0,1.0,4217.865805989137,0.7692307692307693,1
10,1.0,1.0,4664.258548403629,0.7857142857142857,1
11,1.0,1.0,5316.016489488177,0.9545454545454546,1
12,1.0,1.0,4447.545554514553,1.1388888888888888,1
13,1.0,1.0,6611.412573677108,1.3333333333333333,1
14,1.0,1.0,5254.638355578771,0.9423076923076923,1
15,1.0,1.0,7159.824376623321,1.0,1
16,1.0,1.0,8016.452151839229,1.2894736842105263,1
17,1.0,1.0,5656.9192371217005,2.3,1
18,1.0,1.0,5264.505179878437,0.8913043478260869,1
19,1.0,1.0,6451.994235713066,1.4375,1
20,1.0,1.0,5005.069019020979,1.125,1
21,1.0,1.0,4583.107301406042,1.9090909090909092,1
22,1.0,1.0,6631.893751397453,1.6428571428571428,1
23,1.0,1.0,6348.704272584703,0.7678571428571429,1
24,1.0,1.0,5651.918297298258,1.4333333333333333,1
25,1.0,1.0,5851.514928911302,1.3529411764705883,1
26,1.0,1.0,5530.57737372766,1.9583333333333333,1
27,1.0,1.0,4463.455419178825,0.75,1
28,1.0,1.0,6899.7650198275305,0.9166666666666666,1
29,1.0,1.0,6091.247856029169,1.5384615384615385,1
30,1.0,1.0,7061.666537048882,0.8653846153846154,1
31,1.0,1.0,6713.132461349791,0.8275862068965517,1
32,1.0,1.0,5975.701790441902,0.8333333333333334,1
33,1.0,1.0,6231.091144021894,0.8148148148148148,1
34,1.0,1.0,6152.971070669101,1.8461538461538463,1
35,1.0,1.0,6272.376763094608,0.7692307692307693,1
36,1.0,1.0,5152.806606389789,1.0,1
37,1.0,1.0,6103.754669733833,1.6071428571428572,1
38,1.0,1.0,4338.379117967366,0.7142857142857143,1
39,1.0,1.0,5593.298879097467,0.9423076923076923,1
40,1.0,1.0,4884.348910627572,0.7068965517241379,1
41,1.0,1.0,4822.606866863352,1.4642857142857142,1
42,1.0,1.0,6315.2339751743375,0.9375,1
43,1.0,1.0,6561.868112546348,1.3125,1
44,1.0,1.0,7165.909005507615,1.1428571428571428,1
45,1.0,1.0,4978.537112412108,2.1363636363636362,1
46,1.0,1.0,5087.295042116286,0.7777777777777778,1
47,1.0,1.0,6218.868190192893,1.2941176470588236,1
48,1.0,1.0,6162.568210141684,1.40625,1
49,1.0,1.0,5760.786464492198,0.7777777777777778,1
